[2024-03-20 11:14:49,836: INFO: main: Welcome to our custom log]
[2024-03-22 02:03:38,787: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-22 02:03:38,796: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-22 02:03:38,799: INFO: common: created directory at: artifacts]
[2024-03-22 02:03:38,803: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-22 02:11:49,526: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-22 02:11:49,529: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-22 02:11:49,530: INFO: common: created directory at: artifacts]
[2024-03-22 02:11:49,531: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-22 02:11:49,533: INFO: 1986277865: Downloading data from https://drive.google.com/file/d/1Y4NV9Rza2nfOgTqeNca2hzb3Pto5azB_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-22 02:14:29,011: INFO: 1986277865: Downloading data from https://drive.google.com/file/d/1Y4NV9Rza2nfOgTqeNca2hzb3Pto5azB_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-22 02:15:55,536: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-22 02:15:55,538: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-22 02:15:55,539: INFO: common: created directory at: artifacts]
[2024-03-22 02:15:55,540: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-22 02:15:55,541: INFO: 2844403315: Downloading data from https://drive.google.com/file/d/1Y4NV9Rza2nfOgTqeNca2hzb3Pto5azB_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-22 02:18:32,222: INFO: 2844403315: Downloading data from https://drive.google.com/file/d/1Y4NV9Rza2nfOgTqeNca2hzb3Pto5azB_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-22 03:04:08,296: INFO: main: >>>>> stage Data Ingestion Stage started <<<<<<]
[2024-03-22 03:04:08,300: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-22 03:04:08,302: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-22 03:04:08,303: INFO: common: created directory at: artifacts]
[2024-03-22 03:04:08,303: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-22 03:04:08,304: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1Y4NV9Rza2nfOgTqeNca2hzb3Pto5azB_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-22 03:07:56,151: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1Y4NV9Rza2nfOgTqeNca2hzb3Pto5azB_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-22 03:08:04,666: INFO: main: >>>>> stage Data Ingestion Stage completed <<<<<<

x===========x]
